date,open,high,low,close,volumefrom,volumeto,supply,market_cap
2021-01-01,28972.4,29666.33,28748.21,29388.94,50841.73,1487306218.52,18587962.0,546280499940.27997
2021-01-02,29388.94,33257.29,29036.26,32203.64,119214.75,3750440817.91,18588906.0,598630436817.84
2021-01-03,32203.64,34789.34,32010.59,33063.48,93510.99,3132759314.54,18589912.0,614647183613.76
2021-01-04,33063.48,33622.7,28493.29,32030.55,124909.68,3901979149.92,18590900.0,595476751995.0
2021-01-05,32030.55,34487.44,29985.29,34038.29,93735.47,3037657026.2,18592000.0,632839887680.0
2021-01-06,34038.29,36973.76,33404.2,36849.86,108190.73,3788317475.74,18593112.0,685153574164.3201
2021-01-07,36849.86,40365.87,36340.01,39479.41,124086.76,4753170180.55,18594037.0,734081610278.17
2021-01-08,39479.41,41964.96,36640.51,40636.24,118077.27,4705592327.36,18594962.0,755629338622.88
2021-01-09,40636.24,41400.48,38783.61,40236.66,55591.28,2241901362.12,18595837.0,748234370784.42
2021-01-10,40236.66,41427.88,35283.65,38202.08,103220.32,3983391028.78,18596825.0,710437396396.0
2021-01-11,38202.08,38266.42,30308.4,35496.03,240328.0,8100819368.26,18597787.0,660147605285.61
2021-01-12,35496.03,36620.28,32522.98,34058.4,115232.53,3999535589.05,18598712.0,633442372780.8
2021-01-13,34058.4,37809.67,32405.89,37380.85,91979.17,3198683391.78,18599662.0,695271175272.7
2021-01-14,37380.85,40093.43,36751.89,39155.58,74972.21,2895085049.06,18600581.0,728316537391.98
2021-01-15,39155.58,39695.43,34396.19,36790.17,89468.27,3288447634.87,18601556.0,684354407504.52
2021-01-16,36790.17,37942.44,35395.88,36025.26,54226.28,1995053500.31,18602468.0,670158746341.68
2021-01-17,36025.26,36860.67,33854.83,35839.51,50913.3,1806688237.48,18603300.0,666733156383.0
2021-01-18,35839.51,37429.24,34784.4,36623.04,43063.97,1554686784.02,18604112.0,681339137940.48
2021-01-19,36623.04,37867.53,35917.28,35932.79,48457.45,1787957383.29,18605243.0,668538289617.97
2021-01-20,35932.79,36409.96,33519.59,35501.38,66302.02,2316775667.92,18606018.0,660539315304.84
2021-01-21,35501.38,35619.6,30067.14,30840.3,125586.98,4042427455.09,18606912.0,573842748153.6
2021-01-22,30840.3,33857.39,28817.3,33008.02,109210.12,3418228006.19,18607706.0,614203531802.12
2021-01-23,33008.02,33484.73,31430.15,32107.29,39813.32,1287618530.17,18608693.0,597474702671.97
2021-01-24,32107.29,33090.99,30957.56,32283.66,33650.76,1079875602.62,18609556.0,600784578654.96
2021-01-25,32283.66,34881.18,31937.09,32275.27,59529.49,1989618039.07,18610425.0,600656491689.75
2021-01-26,32275.27,32943.69,30853.17,32516.52,59770.06,1909630282.43,18611475.0,605180399067.0
2021-01-27,32516.52,32580.05,29236.73,30423.05,102257.23,3149650799.32,18612318.0,566243481129.9
2021-01-28,30423.05,33880.92,29905.53,33443.87,76993.1,2463162479.45,18613231.0,622498477843.9701
2021-01-29,33443.87,38631.5,31996.08,34252.08,169454.57,6015929349.68,18614175.0,637574211234.0
2021-01-30,34252.08,34906.15,32858.0,34317.82,46326.31,1574213551.44,18615025.0,638827077245.5
2021-01-31,34317.82,34381.7,32214.08,33143.22,35337.11,1176981986.93,18615925.0,616991697778.5
2021-02-01,33143.22,34714.34,32340.24,33535.94,48144.6,1623291067.04,18616706.0,624328735413.64
2021-02-02,33535.94,36004.47,33459.48,35524.43,51377.38,1789698965.07,18617631.0,661380729225.33
2021-02-03,35524.43,37704.8,35413.72,37677.34,63974.93,2340630205.42,18618562.0,701497890785.08
2021-02-04,37677.34,38741.89,36199.19,36983.42,73775.45,2767003411.51,18619443.0,688610680635.0599
2021-02-05,36983.42,38343.92,36626.5,38310.24,45243.69,1705038314.0,18620618.0,713360344528.32
2021-02-06,38310.24,40989.11,38247.96,39267.01,66494.6,2642530408.41,18621618.0,731215260222.18
2021-02-07,39267.01,39721.59,37408.16,38868.82,53823.4,2076904733.5,18622587.0,723837982037.34
2021-02-08,38868.82,46606.82,38063.87,46437.41,138485.21,5944522159.67,18623612.0,864832306124.92
2021-02-09,46437.41,48209.59,45051.46,46509.57,98670.48,4610214635.38,18624493.0,866217160898.01
2021-02-10,46509.57,47349.86,43743.99,44854.95,72992.8,3326890835.4,18625387.0,835440802615.6499
2021-02-11,44854.95,48664.81,44032.66,48006.18,72251.82,3377367971.59,18626193.0,894172373872.74
2021-02-12,48006.18,48930.99,46243.85,47435.54,59549.61,2831634659.58,18627081.0,883585645858.74
2021-02-13,47435.54,48171.46,46291.19,47222.32,33281.25,1571324550.44,18628175.0,879665640866.0
2021-02-14,47222.32,49642.39,47096.92,48652.87,37853.59,1841963034.08,18628987.0,906353682742.6901
2021-02-15,48652.87,49031.74,45910.0,47936.51,52683.57,2502097939.18,18629937.0,893054161299.87
2021-02-16,47936.51,50561.53,47068.63,49184.63,66072.59,3237085085.6,18630737.0,916345905972.3099
2021-02-17,49184.63,52622.68,48967.72,52154.91,67133.49,3423930178.2,18631556.0,971727126339.9601
2021-02-18,52154.91,52550.6,50874.81,51591.61,42530.26,2205232619.94,18632493.0,961280312183.73
2021-02-19,51591.61,56331.09,50766.83,55933.47,72433.44,3893034056.64,18633375.0,1042229321561.25
2021-02-20,55933.47,57528.16,54140.61,55900.84,52924.57,2974872569.57,18634225.0,1041668830248.9999
2021-02-21,55900.84,58348.75,55516.07,57469.95,33823.01,1934005633.01,18635162.0,1070961828381.8999
2021-02-22,57469.95,57540.74,48194.31,54121.17,130806.33,6995162441.1,18635993.0,1008601745271.8099
2021-02-23,54121.17,54164.35,44983.39,48898.7,165758.08,8016450648.12,18636787.0,911314656476.8999
2021-02-24,48898.7,51399.55,47015.55,49738.17,74972.28,3729774704.65,18637700.0,927005091009.0
2021-02-25,49738.17,52086.34,46728.88,47082.87,73102.42,3643008748.86,18638756.0,877566125709.7201
2021-02-26,47082.87,48438.38,44153.46,46324.5,90519.05,4204800171.81,18639625.0,863471308312.5
2021-02-27,46324.5,48362.8,45063.84,46191.39,39013.78,1831237567.32,18640606.0,861035501582.34
2021-02-28,46191.39,46645.9,43061.92,45261.03,62249.5,2776726256.13,18641425.0,843730096167.75
2021-03-01,45261.03,49812.2,45058.98,49635.07,65660.6,3146266419.71,18642237.0,925308738451.59
2021-03-02,49635.07,50221.14,47097.84,48501.21,43281.84,2105387914.68,18643143.0,904214993703.03
2021-03-03,48501.21,52625.39,48176.64,50392.55,51572.27,2615513552.66,18644081.0,939522783996.55
2021-03-04,50392.55,51792.65,47516.91,48363.74,61387.71,3024053725.58,18644881.0,901736177014.94
2021-03-05,48363.74,49467.19,46311.43,48775.37,60955.82,2907395734.68,18645812.0,909456379250.4401
2021-03-06,48775.37,49185.32,47099.07,48892.8,25116.42,1214194643.85,18646762.0,911692405113.6001
2021-03-07,48892.8,51455.54,48892.8,50964.18,32958.26,1658558074.88,18647681.0,950363771066.58
2021-03-08,50964.18,52408.08,49341.09,52405.02,48084.28,2445827949.75,18648643.0,977282509387.86
2021-03-09,52405.02,54933.93,51888.98,54928.7,53740.22,2898199576.25,18649518.0,1024393779366.6
2021-03-10,54928.7,57396.59,53054.34,55893.31,70138.56,3898251700.72,18650450.0,1042435383489.5
2021-03-11,55893.31,58142.77,54314.65,57809.41,59202.98,3340389094.49,18651275.0,1078219203497.7501
2021-03-12,57809.41,58069.58,55089.68,57256.22,54282.31,3079097934.08,18652212.0,1067955153758.64
2021-03-13,57256.22,61749.15,56103.32,61179.79,57862.75,3439594034.95,18653031.0,1141188519443.49
