date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2013-01-01,13.51,13.56,13.16,13.3,28406.21,378879.35,10618114.9105118,141220928.30980694,,,,,,,,,
2013-01-02,13.3,13.4,13.16,13.28,17966.81,239156.18,10621939.9095118,141059361.9983167,-0.001504891179420388,-0.45808161628437777,-0.0011447227077511105,,,,,,
2013-01-03,13.28,13.46,13.25,13.4,18032.25,240845.86,10625989.9070118,142388264.7539581,0.008995562908578003,0.0036356544910924053,0.009376776286447305,,,,,,
2013-01-04,13.4,13.52,13.27,13.5,29641.92,397884.35,10629814.9035118,143502501.1974093,0.0074349784875179905,0.4970277542151993,0.007794879848617823,,,,,,
2013-01-05,13.5,13.55,13.31,13.44,21329.93,286932.51,10633339.9010119,142912088.2695999,-0.004454350349380309,-0.32907832494276207,-0.004122791127355485,,,,,,
2013-01-06,13.44,13.52,13.36,13.52,12741.13,171497.01,10636964.9005118,143811765.45491952,0.0059347355198145265,-0.515275907487161,0.006275586256917054,0.005909620925120529,,,,,
2013-01-07,13.52,13.59,13.4,13.59,25477.72,344083.33,10641164.8990119,144613430.97757173,0.00516415754823431,0.6929690015256518,0.005558928949125121,0.005278209963602863,,,-0.11299466990301343,,
2013-01-08,13.59,13.88,13.5,13.74,42798.37,587223.86,10644489.8980118,146255291.19868213,0.010977058631150994,0.5186956729967939,0.01128947552023895,0.005743237949553504,,,0.08443613580272821,,
2013-01-09,13.74,13.86,13.62,13.77,28606.38,393192.24,10647739.8970118,146619378.38185248,0.002181025946360146,-0.4028702478794566,0.0024863015381161513,0.005669098841797979,,,-0.012992983313938564,,
2013-01-10,13.77,14.32,13.77,14.14,51811.03,727790.48,10651414.8950118,150611006.61546686,0.026515347727863247,0.5939732910901412,0.02686043165934839,0.009677811731069528,,,0.5348056442118755,,
