date,open,high,low,close,volumefrom,volumeto,supply,market_cap
2021-01-01,0.004619,0.005741,0.004606,0.005699,317964411.82,1639311.25,127762182510.79,728116678.1289922
2021-01-02,0.005699,0.01408,0.005597,0.01058,3708310837.38,34174268.9,127776140857.95,1351871570.277111
2021-01-03,0.01058,0.01386,0.009254,0.009826,2050835415.5,23319659.14,127790242601.258,1255666923.799961
2021-01-04,0.009826,0.01151,0.007388,0.009776,1490012658.9,14197090.74,127804028165.969,1249412179.350513
2021-01-05,0.009776,0.0103,0.008825,0.009994,394986883.85,3784489.68,127817815544.224,1277411248.5489745
2021-01-06,0.009994,0.01107,0.009632,0.01043,617792911.84,6323902.29,127831282670.29,1333280278.2511246
2021-01-07,0.01043,0.01059,0.009159,0.009725,592026237.69,5961410.33,127845096713.199,1243293565.5358603
2021-01-08,0.009725,0.01028,0.007872,0.009796,341685818.34,3250811.0,127859052023.389,1252507273.6211185
2021-01-09,0.009796,0.01074,0.009707,0.01023,374153714.59,3833792.8,127873381673.279,1308144694.5176442
2021-01-10,0.01023,0.01089,0.008978,0.009887,199234859.14,2000381.07,127887184033.464,1264420588.5388587
2021-01-11,0.009887,0.009887,0.006703,0.008784,520467774.52,4225867.99,127900991509.252,1123482309.4172695
2021-01-12,0.008784,0.009148,0.007841,0.008064,548742561.65,4523363.17,127914899251.663,1031505747.5654104
2021-01-13,0.008064,0.008709,0.007725,0.008698,144626981.04,1188205.23,127928673748.954,1112723604.2684016
2021-01-14,0.008698,0.01002,0.008286,0.009395,437482345.43,4087395.34,127942437986.606,1202019204.8841634
2021-01-15,0.009395,0.009819,0.008325,0.00938,254896008.95,2359542.93,127956114249.61,1200228351.6613417
2021-01-16,0.00938,0.009546,0.009098,0.00927,190456573.71,1775272.09,127969979163.224,1186281706.8430865
2021-01-17,0.00927,0.009373,0.008788,0.009131,119103244.23,1089205.35,127983817442.469,1168620237.0671844
2021-01-18,0.009131,0.009307,0.008901,0.009187,107609300.96,980417.96,127997773251.956,1175915542.8657198
2021-01-19,0.009187,0.009599,0.008995,0.009078,148070987.03,1366438.41,128011663078.065,1162089877.422674
2021-01-20,0.009078,0.009146,0.008526,0.009066,72244690.57,644076.85,128025589087.242,1160679990.6649358
2021-01-21,0.009066,0.009102,0.008028,0.008119,94236813.35,799667.57,128039472923.648,1039552480.667098
2021-01-22,0.008119,0.008783,0.007602,0.008488,165891863.77,1360376.69,128053286917.117,1086916299.3524892
2021-01-23,0.008488,0.008823,0.008367,0.008572,66620814.05,574796.44,128067056247.113,1097790806.1502526
2021-01-24,0.008572,0.008902,0.008515,0.008713,56354260.31,490094.42,128080996553.241,1115969722.9683888
2021-01-25,0.008713,0.008894,0.008245,0.008338,73941283.07,634680.32,128094794874.8,1068054399.6660824
2021-01-26,0.008338,0.008477,0.00797,0.008269,66760859.19,549983.22,128108658550.809,1059330497.5566397
2021-01-27,0.008269,0.008274,0.007243,0.007471,85831893.93,660510.79,128122565712.118,957203688.4352336
2021-01-28,0.007471,0.03721,0.007357,0.03678,7852534860.22,154704536.67,128136378597.858,4712856004.829217
2021-01-29,0.03678,0.08524,0.03199,0.0458,11534581763.32,601075244.73,128150161815.64,5869277411.156312
2021-01-30,0.0458,0.05075,0.02221,0.02833,5586745417.35,180472709.87,128164323281.518,3630895278.5654054
2021-01-31,0.02833,0.04865,0.02685,0.03705,4855901205.3,175970478.9,128178256702.797,4749004410.838629
2021-02-01,0.03705,0.04383,0.03281,0.03476,2992523920.02,114373553.76,128192153966.996,4455959271.892781
2021-02-02,0.03476,0.03526,0.02882,0.03129,1689293906.3,54060366.37,128206104261.071,4011569002.3289113
2021-02-03,0.03129,0.03993,0.03103,0.03735,1622937372.51,56904169.87,128220052198.891,4789018949.628579
2021-02-04,0.03735,0.05965,0.03593,0.05309,5303258124.39,256386286.76,128233897815.778,6807937635.039654
2021-02-05,0.05309,0.05456,0.04284,0.04682,2473755039.28,117021750.47,128247988881.133,6004570839.414647
2021-02-06,0.04682,0.05886,0.0445,0.05767,2247273573.16,115818503.33,128261821916.389,7396859269.918154
2021-02-07,0.05767,0.08769,0.05314,0.07812,5203837741.03,355244272.73,128275738389.013,10020900682.949696
2021-02-08,0.07812,0.0854,0.06265,0.07881,3834412412.55,288286558.59,128289785324.0,10110517981.384441
2021-02-09,0.07881,0.08379,0.06273,0.07005,2223478798.44,165231945.63,128303944201.977,8987691291.34849
2021-02-10,0.07005,0.08136,0.06745,0.0727,1513547792.76,111836979.28,128317826804.234,9328706008.667812
2021-02-11,0.0727,0.07508,0.06806,0.06975,766434972.01,54869541.16,128331548881.977,8951125534.517897
2021-02-12,0.06975,0.07312,0.06084,0.07006,932149402.02,62699452.0,128345470276.082,8991883647.542305
2021-02-13,0.07006,0.0719,0.06577,0.06633,389575145.1,26762522.93,128359074715.074,8514057425.850859
2021-02-14,0.06633,0.06649,0.05564,0.0627,910548356.64,55855238.31,128372844600.78,8048977356.468906
2021-02-15,0.0627,0.06405,0.04755,0.05655,1228204491.88,69368792.24,128386783421.79,7260272602.502225
2021-02-16,0.05655,0.05982,0.0508,0.05352,679295832.74,37679370.06,128400480664.857,6871993725.183146
2021-02-17,0.05352,0.05519,0.04791,0.0495,582131021.62,30060612.73,128414250723.689,6356505410.822605
2021-02-18,0.0495,0.06514,0.04894,0.05897,1314498090.62,74178998.06,128427908834.259,7573393783.956254
2021-02-19,0.05897,0.05969,0.05389,0.0551,636731837.87,35669482.69,128441150197.716,7077107375.894153
2021-02-20,0.0551,0.06064,0.05215,0.05422,646756845.91,35998251.28,128454754931.93,6964816812.409244
2021-02-21,0.05422,0.05979,0.05344,0.05613,460877381.11,25996757.55,128468349046.927,7210928432.004012
2021-02-22,0.05613,0.06077,0.04803,0.0536,762947824.81,42094653.95,128482207376.664,6886646315.389191
2021-02-23,0.0536,0.05384,0.04262,0.04769,667214408.95,31605648.99,128495957919.448,6127972233.178475
2021-02-24,0.04769,0.06047,0.04595,0.05685,857064268.81,47482411.37,128509684256.278,7305775549.969404
2021-02-25,0.05685,0.05807,0.04966,0.04993,436882917.14,23652826.79,128523145008.078,6417160630.253335
2021-02-26,0.04993,0.05265,0.04851,0.05057,307134820.72,15466818.86,128536867170.781,6500109372.826395
2021-02-27,0.05057,0.05199,0.04921,0.05014,212601217.75,10734725.3,128550709918.654,6445532595.321312
2021-02-28,0.05014,0.05017,0.04481,0.04825,260029708.34,12441277.92,128564334554.535,6203229142.256314
