date,open,high,low,close,volumefrom,volumeto,supply,market_cap
2021-01-01,737.15,749.71,717.14,730.6,436164.48,320856381.75,114078663.1865,83345871324.0569
2021-01-02,730.6,788.27,716.71,774.9,904953.39,688632713.33,114092306.3115,88410128160.78134
2021-01-03,774.9,1011.81,770.07,978.69,2200163.67,1987810339.53,114105798.499,111674203932.98631
2021-01-04,978.69,1163.36,889.78,1043.16,2903509.97,2941908637.58,114119300.6865,119044689704.12935
2021-01-05,1043.16,1133.9,975.69,1103.19,2076858.97,2209100382.41,114132899.874,125910273811.99806
2021-01-06,1103.19,1214.12,1059.19,1210.59,2484714.82,2817165249.56,114146411.5615,138184504372.23627
2021-01-07,1210.59,1290.46,1151.6,1225.5,1601329.3,1957429185.72,114159769.5615,139902797597.61826
2021-01-08,1225.5,1273.69,1067.33,1216.98,1767634.41,2103290577.04,114173412.9365,138946760075.46176
2021-01-09,1216.98,1307.77,1173.77,1279.96,997317.78,1234090079.14,114186843.8115,146154592604.96753
2021-01-10,1279.96,1350.09,1163.66,1255.72,1503199.13,1931453689.24,114200383.749,143403705881.29428
2021-01-11,1255.72,1259.54,912.42,1088.37,3649323.14,3831991768.04,114213945.9365,124307032338.9085
2021-01-12,1088.37,1149.87,1007.68,1050.04,1521509.38,1647583878.23,114227566.3115,119943513729.72745
2021-01-13,1050.04,1136.66,985.32,1129.84,1182504.51,1262994625.32,114241205.4365,129074283550.37515
2021-01-14,1129.84,1246.36,1087.39,1232.11,1151856.9,1349158455.8,114254557.8115,140774183225.12726
2021-01-15,1232.11,1255.19,1069.37,1169.06,1395002.47,1643038085.27,114268212.9365,133586397015.54468
2021-01-16,1169.06,1293.2,1152.92,1228.52,1020332.59,1250938805.76,114281695.374,140397348400.8665
2021-01-17,1228.52,1269.49,1166.6,1233.73,783042.23,957632921.26,114295213.999,141009434366.98627
2021-01-18,1233.73,1260.68,1183.78,1258.31,663535.05,813409622.3,114307599.624,143834395682.87543
2021-01-19,1258.31,1439.37,1252.78,1367.65,1607009.53,2197247666.73,114322309.8115,156352907013.69797
2021-01-20,1367.65,1408.06,1234.88,1377.75,1362169.39,1802865032.38,114335927.0615,157526323508.98163
2021-01-21,1377.75,1389.04,1086.55,1111.49,1941246.58,2374156404.45,114349427.8115,127098245518.20413
2021-01-22,1111.49,1275.45,1044.92,1234.56,1781416.3,2068128154.63,114362874.9365,141187830881.60544
2021-01-23,1234.56,1272.57,1197.55,1234.1,617746.69,766118780.58,114376451.8115,141151979180.57214
2021-01-24,1234.1,1400.2,1221.78,1392.45,1164242.17,1540273353.15,114389939.4365,159282271168.35443
2021-01-25,1392.45,1475.49,1296.02,1318.47,1477949.16,2072432387.85,114403483.749,150837561218.54404
2021-01-26,1318.47,1378.06,1246.49,1368.22,1325006.34,1749379399.61,114417059.124,156547708634.63928
2021-01-27,1368.22,1374.39,1207.77,1241.51,1409050.67,1798477778.92,114430439.249,142066534632.026
2021-01-28,1241.51,1361.36,1220.48,1330.78,1035138.63,1368788914.36,114443969.1865,152299745314.01047
