date,usd,gbp,eur
2000-01-04,281.5,171.93,272.4
2000-01-05,280.45,170.81,270.47
2000-01-06,279.4,169.52,269.15
2000-01-07,282.1,172.07,274.02
2000-01-10,281.6,171.96,274.81
2000-01-11,282.25,171.42,274.32
2000-01-12,282.25,171.37,274.27
2000-01-13,282.1,171.59,274.9
2000-01-14,283.3,172.44,277.88
2000-01-17,285.35,174.89,282.78
2000-01-18,285.8,174.59,283.08
2000-01-19,287.65,175.25,284.61
2000-01-20,288.1,175.09,285.45
2000-01-21,287.75,174.34,285.69
2000-01-24,287.2,173.8,286.83
2000-01-25,288.0,174.81,286.88
2000-01-26,285.9,174.0,285.44
2000-01-27,285.55,174.4,287.97
2000-01-28,286.75,176.53,291.24
2000-01-31,283.3,175.02,289.29
2000-02-01,283.0,175.34,290.38
2000-02-02,285.6,178.04,294.01
2000-02-03,285.05,178.6,290.99
2000-02-04,293.65,184.77,299.55
2000-02-07,312.7,196.63,319.64
2000-02-08,296.25,184.18,300.61
2000-02-09,308.6,191.43,311.0
2000-02-10,309.0,192.01,312.91
2000-02-11,311.5,194.91,316.98
2000-02-14,308.35,193.47,313.59
2000-02-15,304.25,191.08,311.03
2000-02-16,302.5,188.98,307.73
2000-02-17,304.75,189.22,307.21
2000-02-18,303.55,189.98,308.58
2000-02-21,305.25,190.72,309.43
2000-02-22,302.25,187.38,301.35
2000-02-23,302.0,187.95,300.74
2000-02-24,298.75,186.77,301.01
2000-02-25,294.0,184.29,299.33
2000-02-28,292.5,183.85,302.23
2000-02-29,293.65,185.77,303.51
2000-03-01,292.9,185.05,303.05
2000-03-02,289.9,183.31,298.41
2000-03-03,288.5,182.75,300.8
2000-03-06,288.8,183.77,300.99
2000-03-07,289.75,184.03,302.3
2000-03-08,291.2,184.65,305.08
2000-03-09,290.5,183.86,301.41
2000-03-10,290.25,183.52,301.28
2000-03-13,290.65,183.82,299.89
2000-03-14,288.75,183.65,299.29
2000-03-15,289.15,183.88,298.71
2000-03-16,287.35,182.21,296.39
2000-03-17,283.9,180.48,293.32
2000-03-20,285.75,182.53,294.5
2000-03-21,285.15,181.34,293.46
2000-03-22,287.8,183.9,299.95
2000-03-23,284.75,179.94,293.41
2000-03-24,284.85,179.19,293.27
2000-03-27,284.15,178.48,292.43
2000-03-28,280.65,176.68,289.48
2000-03-29,279.75,176.22,292.17
2000-03-30,275.75,173.01,288.8
2000-03-31,276.75,173.34,288.94
2000-04-03,277.5,174.06,290.18
2000-04-04,276.85,173.5,290.35
2000-04-05,281.3,177.11,291.05
2000-04-06,279.35,176.59,291.35
2000-04-07,280.15,177.14,292.65
2000-04-10,282.25,178.3,293.86
2000-04-11,282.5,177.99,293.69
2000-04-12,280.4,176.86,292.75
2000-04-13,281.4,177.04,294.41
2000-04-14,282.0,177.47,294.0
2000-04-17,281.75,177.49,294.5
2000-04-18,281.1,177.93,296.52
2000-04-19,281.35,177.99,298.36
2000-04-20,279.85,177.06,298.67
2000-04-25,279.5,177.06,301.77
2000-04-26,276.2,174.94,299.57
2000-04-27,276.0,175.15,302.17
2000-04-28,275.05,175.58,302.25
2000-05-02,275.45,176.15,302.36
2000-05-03,275.6,176.36,307.17
2000-05-04,280.0,181.88,313.83
2000-05-05,280.75,182.96,313.09
2000-05-08,277.9,181.54,310.33
2000-05-09,276.3,180.12,307.17
2000-05-10,277.6,182.49,304.45
2000-05-11,276.75,183.94,306.24
2000-05-12,276.65,182.25,304.88
2000-05-15,275.05,181.73,300.54
2000-05-16,276.0,184.17,304.77
2000-05-17,273.1,182.55,304.73
2000-05-18,272.8,183.95,304.36
2000-05-19,273.15,184.0,306.74
2000-05-22,274.0,184.25,303.97
2000-05-23,274.05,185.52,301.45
2000-05-24,273.7,185.82,300.57
2000-05-25,273.35,186.02,302.88
2000-05-26,271.3,184.09,296.57
2000-05-30,273.15,182.04,291.55
2000-05-31,272.25,181.86,291.61
2000-06-01,272.5,182.19,292.85
2000-06-02,281.6,186.31,296.73
2000-06-05,283.25,187.53,300.02
2000-06-06,288.4,189.49,301.04
2000-06-07,284.1,186.53,296.62
2000-06-08,285.75,189.18,298.18
