date,usd,gbp,eur
2000-01-04,5.303,3.232,5.138
2000-01-05,5.285,3.224,5.101
2000-01-06,5.14,3.115,4.942
2000-01-07,5.135,3.122,4.99
2000-01-10,5.145,3.144,5.032
2000-01-11,5.155,3.138,5.007
2000-01-12,5.145,3.124,4.994
2000-01-13,5.09,3.096,4.949
2000-01-14,5.095,3.099,4.978
2000-01-17,5.125,3.136,5.072
2000-01-18,5.13,3.14,5.088
2000-01-19,5.103,3.115,5.049
2000-01-20,5.13,3.116,5.077
2000-01-21,5.18,3.129,5.077
2000-01-24,5.21,3.149,5.187
2000-01-25,5.268,3.2,5.26
2000-01-26,5.2,3.165,5.192
2000-01-27,5.295,3.235,5.295
2000-01-28,5.37,3.3,5.449
2000-01-31,5.26,3.239,5.362
2000-02-01,5.243,3.252,5.402
2000-02-02,5.208,3.24,5.352
2000-02-03,5.2,3.25,5.336
2000-02-04,5.23,3.293,5.307
2000-02-07,5.448,3.42,5.573
2000-02-08,5.27,3.294,5.344
2000-02-09,5.363,3.328,5.413
2000-02-10,5.36,3.333,5.431
2000-02-11,5.36,3.353,5.469
2000-02-14,5.235,3.293,5.296
2000-02-15,5.24,3.304,5.341
2000-02-16,5.23,3.269,5.331
2000-02-17,5.285,3.281,5.448
2000-02-18,5.23,3.259,5.304
2000-02-21,5.24,3.277,5.32
2000-02-22,5.24,3.26,5.24
2000-02-23,5.255,3.267,5.226
2000-02-24,5.22,3.263,5.257
2000-02-25,5.15,3.232,5.244
2000-02-28,5.078,3.193,5.251
2000-02-29,5.095,3.198,5.228
2000-03-01,5.125,3.235,5.292
2000-03-02,5.035,3.181,5.185
2000-03-03,5.02,3.18,5.197
2000-03-06,5.09,3.228,5.283
2000-03-07,5.05,3.208,5.26
2000-03-08,5.065,3.21,5.304
2000-03-09,5.05,3.196,5.239
2000-03-10,5.11,3.235,5.309
2000-03-13,5.093,3.223,5.245
2000-03-14,5.08,3.234,5.281
2000-03-15,5.08,3.231,5.264
2000-03-16,5.115,3.251,5.279
2000-03-17,5.06,3.213,5.23
2000-03-20,5.065,3.233,5.216
2000-03-21,5.035,3.275,5.18
2000-03-22,5.13,3.274,5.344
2000-03-23,5.105,3.234,5.304
2000-03-24,5.08,3.199,5.231
2000-03-27,5.09,3.181,5.226
2000-03-28,5.065,3.195,5.238
2000-03-29,5.05,3.184,5.277
2000-03-30,4.94,3.107,5.167
2000-03-31,4.935,3.094,5.173
2000-04-03,5.04,3.165,5.28
2000-04-04,4.99,3.121,5.228
2000-04-05,5.11,3.205,5.282
2000-04-06,5.095,3.211,5.288
2000-04-07,5.085,3.213,5.311
2000-04-10,5.08,3.214,5.314
2000-04-11,5.118,3.228,5.331
2000-04-12,5.095,3.215,5.327
2000-04-13,5.1,3.211,5.332
2000-04-14,5.13,3.24,5.377
2000-04-17,5.135,3.234,5.355
2000-04-18,5.085,3.211,5.347
2000-04-19,5.103,3.228,5.388
2000-04-20,5.095,3.225,5.42
2000-04-25,4.96,3.149,5.322
2000-04-26,4.97,3.15,5.402
2000-04-27,4.975,3.163,5.399
2000-04-28,4.938,3.149,5.45
2000-05-02,5.005,3.2,5.5
2000-05-03,5.0,3.197,5.574
2000-05-04,5.0,3.226,5.602
2000-05-05,5.075,3.3,5.661
2000-05-08,4.985,3.261,5.585
2000-05-09,4.99,3.251,5.569
2000-05-10,5.025,3.293,5.513
2000-05-11,5.0,3.333,5.495
2000-05-12,4.97,3.282,5.495
2000-05-15,4.98,3.295,5.451
2000-05-16,5.005,3.332,5.515
2000-05-17,5.04,3.38,5.634
2000-05-18,4.965,3.349,5.563
2000-05-19,4.98,3.356,5.608
2000-05-22,4.978,3.347,5.531
2000-05-23,4.995,3.375,5.483
2000-05-24,4.98,3.374,5.473
2000-05-25,4.968,3.359,5.504
2000-05-26,4.915,3.332,5.366
2000-05-30,4.94,3.293,5.275
2000-05-31,4.9,3.277,5.26
2000-06-01,4.895,3.277,5.26
2000-06-02,4.91,3.28,5.251
2000-06-05,5.03,3.326,5.328
2000-06-06,5.005,3.308,5.288
2000-06-07,5.045,3.309,5.272
2000-06-08,5.055,3.328,5.271
2000-06-09,5.035,3.339,5.272
2000-06-12,5.01,3.318,5.257
2000-06-13,5.088,3.36,5.308
2000-06-14,4.995,3.321,5.187
2000-06-15,5.06,3.355,5.307
2000-06-16,5.05,3.34,5.277
2000-06-19,5.04,3.327,5.226
2000-06-20,4.99,3.311,5.231
2000-06-21,5.02,3.331,5.298
2000-06-22,4.93,3.276,5.247
2000-06-23,4.955,3.297,5.283
2000-06-26,4.94,3.293,5.3
2000-06-27,4.955,3.309,5.271
2000-06-28,4.935,3.28,5.242
2000-06-29,4.978,3.277,5.231
2000-06-30,5.018,3.317,5.24
2000-07-03,4.995,3.306,5.258
2000-07-04,4.99,3.299,5.264
2000-07-05,4.99,3.296,5.22
2000-07-06,4.97,3.293,5.188
2000-07-07,4.985,3.296,5.253
2000-07-10,4.975,3.282,5.228
2000-07-11,4.975,3.29,5.215
2000-07-12,4.955,3.273,5.216
2000-07-13,4.955,3.297,5.291
2000-07-14,4.96,3.31,5.31
2000-07-17,5.005,3.337,5.33
2000-07-18,5.015,3.347,5.364
2000-07-19,4.99,3.332,5.415
2000-07-20,4.96,3.318,5.383
2000-07-21,4.988,3.294,5.334
2000-07-24,4.925,3.24,5.27
2000-07-25,4.92,3.248,5.223
2000-07-26,4.965,3.27,5.282
2000-07-27,4.935,3.256,5.253
2000-07-28,4.95,3.278,5.331
2000-07-31,4.95,3.303,5.354
2000-08-01,4.978,3.32,5.375
2000-08-02,4.96,3.331,5.418
2000-08-03,4.958,3.338,5.49
2000-08-04,4.948,3.297,5.47
2000-08-07,4.92,3.265,5.413
2000-08-08,4.925,3.266,5.445
2000-08-09,4.87,3.245,5.429
2000-08-10,4.875,3.25,5.402
2000-08-11,4.9,3.254,5.367
2000-08-14,4.91,3.265,5.437
2000-08-15,4.865,3.233,5.329
2000-08-16,4.845,3.227,5.539
2000-08-17,4.87,3.249,5.337
2000-08-18,4.853,3.241,5.315
2000-08-21,4.835,3.242,5.356
2000-08-22,4.828,3.25,5.37
2000-08-23,4.81,3.247,5.386
2000-08-24,4.76,3.217,5.283
