date,dogecoin
2022-01-01,33
2022-01-02,35
2022-01-03,34
2022-01-04,69
2022-01-05,28
2022-01-06,32
2022-01-07,37
2022-01-08,35
2022-01-09,32
2022-01-10,34
2022-01-11,36
2022-01-12,34
2022-01-13,79
2022-01-14,99
2022-01-15,80
2022-01-16,100
2022-01-17,36
2022-01-18,31
2022-01-19,33
2022-01-20,32
2022-01-21,38
2022-01-22,48
2022-01-23,40
2022-01-24,97
2022-01-25,46
2022-01-26,51
2022-01-27,36
2022-01-28,33
2022-01-29,33
2022-01-30,29
2022-01-31,29
2022-02-01,32
2022-02-02,28
2022-02-03,27
2022-02-04,36
2022-02-05,30
2022-02-06,29
2022-02-07,39
2022-02-08,32
2022-02-09,28
2022-02-10,23
2022-02-11,24
2022-02-12,22
2022-02-13,27
2022-02-14,26
2022-02-15,26
2022-02-16,24
2022-02-17,25
2022-02-18,25
2022-02-19,24
2022-02-20,23
2022-02-21,24
2022-02-22,26
2022-02-23,25
2022-02-24,31
2022-02-25,24
2022-02-26,21
2022-02-27,21
2022-02-28,23
2022-03-01,25
2022-03-02,23
2022-03-03,22
2022-03-04,22
2022-03-05,19
2022-03-06,17
2022-03-07,21
2022-03-08,21
2022-03-09,25
2022-03-10,20
2022-03-11,20
2022-03-12,18
2022-03-13,17
2022-03-14,21
2022-03-15,19
2022-03-16,19
2022-03-17,18
2022-03-18,18
2022-03-19,20
2022-03-20,17
2022-03-21,18
2022-03-22,21
2022-03-23,20
2022-03-24,27
2022-03-25,21
2022-03-26,19
2022-03-27,23
2022-03-28,27
2022-03-29,22
2022-03-30,21
2022-03-31,20
2022-04-01,19
2022-04-02,19
2022-04-03,19
2022-04-04,23
2022-04-05,40
2022-04-06,30
2022-04-07,22
2022-04-08,24
2022-04-09,19
2022-04-10,28
2022-04-11,25
2022-04-12,21
2022-04-13,20
2022-04-14,23
2022-04-15,25
2022-04-16,20
2022-04-17,20
2022-04-18,21
2022-04-19,18
2022-04-20,19
2022-04-21,18
2022-04-22,17
2022-04-23,17
2022-04-24,17
2022-04-25,53
2022-04-26,60
2022-04-27,30
2022-04-28,25
2022-04-29,25
2022-04-30,21
2022-05-01,21
2022-05-02,23
2022-05-03,20
2022-05-04,19
2022-05-05,20
2022-05-06,20
2022-05-07,18
2022-05-08,17
2022-05-09,23
2022-05-10,23
2022-05-11,35
2022-05-12,51
2022-05-13,41
2022-05-14,28
2022-05-15,24
2022-05-16,23
2022-05-17,22
2022-05-18,21
2022-05-19,21
2022-05-20,19
2022-05-21,17
2022-05-22,16
2022-05-23,18
2022-05-24,17
2022-05-25,16
2022-05-26,18
2022-05-27,23
2022-05-28,20
2022-05-29,16
2022-05-30,19
2022-05-31,20
2022-06-01,18
2022-06-02,16
2022-06-03,15
2022-06-04,13
2022-06-05,13
2022-06-06,15
2022-06-07,15
2022-06-08,13
2022-06-09,13
2022-06-10,13
2022-06-11,14
2022-06-12,18
2022-06-13,30
2022-06-14,26
2022-06-15,25
2022-06-16,28
2022-06-17,31
2022-06-18,33
2022-06-19,44
2022-06-20,29
2022-06-21,27
2022-06-22,22
2022-06-23,19
2022-06-24,19
2022-06-25,17
2022-06-26,21
2022-06-27,21
2022-06-28,18
2022-06-29,17
2022-06-30,17
