date,eth,ethereum
2024-07-01,33,26
2024-07-02,33,26
2024-07-03,33,26
2024-07-04,36,32
2024-07-05,40,35
2024-07-06,30,27
2024-07-07,32,26
2024-07-08,38,30
2024-07-09,36,29
2024-07-10,35,30
2024-07-11,35,30
2024-07-12,36,27
2024-07-13,30,26
2024-07-14,31,28
2024-07-15,42,41
2024-07-16,41,36
2024-07-17,38,36
2024-07-18,38,33
2024-07-19,39,34
2024-07-20,36,50
2024-07-21,37,33
2024-07-22,41,35
2024-07-23,61,57
2024-07-24,43,42
2024-07-25,48,63
2024-07-26,41,36
2024-07-27,34,32
2024-07-28,34,29
2024-07-29,38,36
2024-07-30,33,30
2024-07-31,36,30
2024-08-01,34,34
2024-08-02,35,28
2024-08-03,33,29
2024-08-04,39,43
2024-08-05,100,92
2024-08-06,54,54
2024-08-07,46,57
2024-08-08,43,40
2024-08-09,39,36
2024-08-10,32,28
2024-08-11,35,30
2024-08-12,36,31
2024-08-13,36,30
2024-08-14,35,31
2024-08-15,35,30
2024-08-16,36,28
2024-08-17,28,26
2024-08-18,30,25
2024-08-19,33,30
2024-08-20,34,29
2024-08-21,34,29
2024-08-22,33,26
2024-08-23,35,28
2024-08-24,38,29
2024-08-25,30,28
2024-08-26,34,27
2024-08-27,34,27
2024-08-28,43,28
2024-08-29,33,34
2024-08-30,35,25
2024-08-31,28,23
2024-09-01,28,35
2024-09-02,34,25
2024-09-03,32,25
2024-09-04,35,26
2024-09-05,33,25
2024-09-06,37,28
2024-09-07,32,26
2024-09-08,29,24
2024-09-09,36,26
2024-09-10,32,24
2024-09-11,32,24
2024-09-12,31,31
2024-09-13,32,24
2024-09-14,27,22
2024-09-15,26,21
2024-09-16,36,26
2024-09-17,36,24
2024-09-18,34,40
2024-09-19,36,30
2024-09-20,39,27
2024-09-21,28,22
2024-09-22,30,22
2024-09-23,37,26
2024-09-24,39,26
2024-09-25,34,24
2024-09-26,34,25
2024-09-27,33,24
2024-09-28,28,28
2024-09-29,28,20
2024-09-30,35,29
2024-10-01,35,22
2024-10-02,31,20
2024-10-03,30,21
2024-10-04,30,20
2024-10-05,25,17
2024-10-06,25,17
2024-10-07,32,20
2024-10-08,37,19
2024-10-09,37,19
2024-10-10,30,18
2024-10-11,29,19
2024-10-12,26,21
2024-10-13,24,15
2024-10-14,33,22
2024-10-15,31,21
2024-10-16,31,23
2024-10-17,32,23
2024-10-18,36,24
2024-10-19,25,19
2024-10-20,28,22
2024-10-21,32,23
2024-10-22,29,21
2024-10-23,28,21
2024-10-24,31,21
2024-10-25,31,21
2024-10-26,25,18
2024-10-27,25,18
2024-10-28,36,23
2024-10-29,43,34
2024-10-30,37,29
2024-10-31,35,27
2024-11-01,32,24
2024-11-02,26,20
2024-11-03,25,19
2024-11-04,29,21
2024-11-05,31,25
2024-11-06,66,65
2024-11-07,58,57
2024-11-08,51,55
2024-11-09,48,46
2024-11-10,67,74
2024-11-11,83,93
2024-11-12,79,95
2024-11-13,79,82
2024-11-14,63,68
2024-11-15,52,57
2024-11-16,46,53
2024-11-17,46,41
2024-11-18,51,53
2024-11-19,49,51
2024-11-20,52,55
2024-11-21,80,81
2024-11-22,66,75
2024-11-23,55,71
2024-11-24,50,55
2024-11-25,60,65
2024-11-26,49,52
2024-11-27,61,60
2024-11-28,53,61
2024-11-29,49,58
2024-11-30,48,56
2024-12-01,54,57
2024-12-02,58,65
2024-12-03,50,59
2024-12-04,67,71
2024-12-05,88,100
2024-12-06,82,85
2024-12-07,59,73
2024-12-08,53,67
2024-12-09,60,66
2024-12-10,63,63
2024-12-11,53,61
2024-12-12,60,63
2024-12-13,49,59
2024-12-14,47,45
2024-12-15,50,55
2024-12-16,65,72
2024-12-17,64,67
2024-12-18,52,57
2024-12-19,56,61
2024-12-20,60,62
2024-12-21,43,43
2024-12-22,42,43
2024-12-23,44,44
2024-12-24,43,47
2024-12-25,41,42
2024-12-26,41,40
2024-12-27,39,39
2024-12-28,35,34
2024-12-29,36,35
2024-12-30,41,40
2024-12-31,34,35
