date,litecoin
2024-01-01,35
2024-01-02,43
2024-01-03,47
2024-01-04,42
2024-01-05,37
2024-01-06,35
2024-01-07,35
2024-01-08,39
2024-01-09,38
2024-01-10,42
2024-01-11,54
2024-01-12,50
2024-01-13,41
2024-01-14,35
2024-01-15,38
2024-01-16,32
2024-01-17,34
2024-01-18,30
2024-01-19,32
2024-01-20,32
2024-01-21,33
2024-01-22,30
2024-01-23,35
2024-01-24,31
2024-01-25,27
2024-01-26,32
2024-01-27,29
2024-01-28,31
2024-01-29,29
2024-01-30,32
2024-01-31,28
2024-02-01,27
2024-02-02,28
2024-02-03,32
2024-02-04,27
2024-02-05,28
2024-02-06,31
2024-02-07,25
2024-02-08,32
2024-02-09,37
2024-02-10,33
2024-02-11,37
2024-02-12,37
2024-02-13,41
2024-02-14,42
2024-02-15,39
2024-02-16,38
2024-02-17,33
2024-02-18,34
2024-02-19,37
2024-02-20,35
2024-02-21,36
2024-02-22,35
2024-02-23,35
2024-02-24,33
2024-02-25,35
2024-02-26,35
2024-02-27,53
2024-02-28,60
2024-02-29,65
2024-03-01,63
2024-03-02,73
2024-03-03,68
2024-03-04,72
2024-03-05,79
2024-03-06,66
2024-03-07,63
2024-03-08,55
2024-03-09,59
2024-03-10,56
2024-03-11,100
2024-03-12,80
2024-03-13,70
2024-03-14,59
2024-03-15,51
2024-03-16,53
2024-03-17,48
2024-03-18,46
2024-03-19,46
2024-03-20,47
2024-03-21,43
2024-03-22,43
2024-03-23,46
2024-03-24,48
2024-03-25,51
2024-03-26,50
2024-03-27,59
2024-03-28,48
2024-03-29,81
2024-03-30,64
2024-03-31,60
2024-04-01,61
2024-04-02,66
2024-04-03,54
2024-04-04,52
2024-04-05,45
2024-04-06,48
2024-04-07,45
2024-04-08,48
2024-04-09,45
2024-04-10,40
2024-04-11,47
2024-04-12,50
2024-04-13,49
2024-04-14,55
2024-04-15,45
2024-04-16,40
2024-04-17,35
2024-04-18,45
2024-04-19,42
2024-04-20,46
2024-04-21,42
2024-04-22,40
2024-04-23,39
2024-04-24,38
2024-04-25,35
2024-04-26,43
2024-04-27,42
2024-04-28,33
2024-04-29,35
2024-04-30,33
2024-05-01,36
2024-05-02,31
2024-05-03,33
2024-05-04,30
2024-05-05,36
2024-05-06,33
2024-05-07,34
2024-05-08,31
2024-05-09,29
2024-05-10,27
2024-05-11,25
2024-05-12,26
2024-05-13,28
2024-05-14,29
2024-05-15,29
2024-05-16,31
2024-05-17,32
2024-05-18,32
2024-05-19,26
2024-05-20,36
2024-05-21,38
2024-05-22,34
2024-05-23,34
2024-05-24,32
2024-05-25,36
2024-05-26,32
2024-05-27,33
2024-05-28,31
2024-05-29,34
2024-05-30,34
2024-05-31,30
2024-06-01,25
2024-06-02,31
2024-06-03,31
2024-06-04,29
2024-06-05,34
2024-06-06,31
2024-06-07,34
2024-06-08,30
2024-06-09,30
2024-06-10,28
2024-06-11,31
2024-06-12,31
2024-06-13,26
2024-06-14,29
2024-06-15,27
2024-06-16,26
2024-06-17,28
2024-06-18,34
2024-06-19,29
2024-06-20,32
2024-06-21,26
2024-06-22,24
2024-06-23,28
2024-06-24,30
2024-06-25,28
2024-06-26,23
2024-06-27,28
2024-06-28,27
2024-06-29,29
2024-06-30,25
