date,ethereum,trend_diff,trend_log_return
2016-01-01,3,0.0,0.0
2016-01-02,4,1.0,0.28768207245178085
2016-01-03,3,-1.0,-0.2876820724517809
2016-01-04,4,1.0,0.28768207245178085
2016-01-05,4,0.0,0.0
2016-01-06,5,1.0,0.22314355131420976
2016-01-07,5,0.0,0.0
2016-01-08,4,-1.0,-0.2231435513142097
2016-01-09,3,-1.0,-0.2876820724517809
2016-01-10,4,1.0,0.28768207245178085
2016-01-11,5,1.0,0.22314355131420976
2016-01-12,6,1.0,0.1823215567939546
2016-01-13,6,0.0,0.0
2016-01-14,5,-1.0,-0.1823215567939546
2016-01-15,7,2.0,0.3364722366212129
2016-01-16,7,0.0,0.0
2016-01-17,6,-1.0,-0.15415067982725836
2016-01-18,8,2.0,0.28768207245178085
2016-01-19,8,0.0,0.0
2016-01-20,8,0.0,0.0
2016-01-21,9,1.0,0.11778303565638346
2016-01-22,5,-4.0,-0.587786664902119
2016-01-23,10,5.0,0.6931471805599453
2016-01-24,14,4.0,0.3364722366212129
2016-01-25,16,2.0,0.13353139262452257
2016-01-26,17,1.0,0.06062462181643484
2016-01-27,13,-4.0,-0.2682639865946794
2016-01-28,12,-1.0,-0.08004270767353637
2016-01-29,10,-2.0,-0.1823215567939546
2016-01-30,7,-3.0,-0.35667494393873245
2016-01-31,10,3.0,0.3566749439387324
2016-02-01,9,-1.0,-0.10536051565782628
2016-02-02,8,-1.0,-0.11778303565638351
2016-02-03,10,2.0,0.22314355131420976
2016-02-04,8,-2.0,-0.2231435513142097
2016-02-05,8,0.0,0.0
2016-02-06,8,0.0,0.0
2016-02-07,9,1.0,0.11778303565638346
2016-02-08,15,6.0,0.5108256237659907
2016-02-09,17,2.0,0.125163142954006
2016-02-10,23,6.0,0.3022808718729337
2016-02-11,24,1.0,0.0425596144187959
2016-02-12,28,4.0,0.15415067982725836
2016-02-13,19,-9.0,-0.38776553100876343
2016-02-14,16,-3.0,-0.17185025692665928
2016-02-15,19,3.0,0.17185025692665923
2016-02-16,16,-3.0,-0.17185025692665928
2016-02-17,16,0.0,0.0
2016-02-18,14,-2.0,-0.13353139262452263
2016-02-19,13,-1.0,-0.07410797215372185
2016-02-20,11,-2.0,-0.1670540846631662
2016-02-21,12,1.0,0.0870113769896297
2016-02-22,13,1.0,0.08004270767353636
2016-02-23,15,2.0,0.14310084364067324
2016-02-24,19,4.0,0.23638877806423034
2016-02-25,19,0.0,0.0
2016-02-26,19,0.0,0.0
2016-02-27,18,-1.0,-0.05406722127027582
2016-02-28,17,-1.0,-0.05715841383994864
2016-02-29,17,0.0,0.0
2016-03-01,21,4.0,0.21130909366720696
2016-03-02,31,10.0,0.3894647667617233
2016-03-03,33,2.0,0.06252035698133393
2016-03-04,27,-6.0,-0.2006706954621511
2016-03-05,40,13.0,0.3930425881096072
