date,litecoin,trend_relative_diff,trend_log_return
2013-01-01,0,,
2013-01-02,0,,
2013-01-03,0,,
2013-01-04,0,,
2013-01-05,0,,
2013-01-06,0,,
2013-01-07,2,inf,inf
2013-01-08,2,0.0,0.0
2013-01-09,0,-1.0,-inf
2013-01-10,0,,
2013-01-11,0,,
2013-01-12,0,,
2013-01-13,0,,
2013-01-14,0,,
2013-01-15,0,,
2013-01-16,2,inf,inf
2013-01-17,0,-1.0,-inf
2013-01-18,3,inf,inf
2013-01-19,0,-1.0,-inf
2013-01-20,0,,
2013-01-21,0,,
2013-01-22,0,,
2013-01-23,0,,
2013-01-24,2,inf,inf
2013-01-25,0,-1.0,-inf
2013-01-26,3,inf,inf
2013-01-27,0,-1.0,-inf
2013-01-28,3,inf,inf
2013-01-29,3,0.0,0.0
2013-01-30,0,-1.0,-inf
2013-01-31,3,inf,inf
2013-02-01,4,0.3333333333333333,0.28768207245178085
2013-02-02,0,-1.0,-inf
2013-02-03,3,inf,inf
2013-02-04,2,-0.3333333333333333,-0.40546510810816444
2013-02-05,2,0.0,0.0
2013-02-06,0,-1.0,-inf
2013-02-07,4,inf,inf
2013-02-08,0,-1.0,-inf
2013-02-09,0,,
2013-02-10,3,inf,inf
2013-02-11,3,0.0,0.0
2013-02-12,3,0.0,0.0
2013-02-13,3,0.0,0.0
2013-02-14,2,-0.3333333333333333,-0.40546510810816444
2013-02-15,3,0.5,0.4054651081081644
2013-02-16,0,-1.0,-inf
2013-02-17,3,inf,inf
2013-02-18,0,-1.0,-inf
2013-02-19,4,inf,inf
2013-02-20,0,-1.0,-inf
2013-02-21,4,inf,inf
2013-02-22,4,0.0,0.0
2013-02-23,5,0.25,0.22314355131420976
2013-02-24,3,-0.4,-0.5108256237659907
2013-02-25,5,0.6666666666666666,0.5108256237659907
2013-02-26,3,-0.4,-0.5108256237659907
2013-02-27,2,-0.3333333333333333,-0.40546510810816444
2013-02-28,3,0.5,0.4054651081081644
2013-03-01,5,0.6666666666666666,0.5108256237659907
2013-03-02,4,-0.2,-0.2231435513142097
2013-03-03,4,0.0,0.0
2013-03-04,4,0.0,0.0
2013-03-05,5,0.25,0.22314355131420976
2013-03-06,6,0.2,0.1823215567939546
2013-03-07,5,-0.16666666666666666,-0.1823215567939546
2013-03-08,5,0.0,0.0
2013-03-09,6,0.2,0.1823215567939546
2013-03-10,7,0.16666666666666666,0.15415067982725836
2013-03-11,13,0.8571428571428571,0.6190392084062235
2013-03-12,12,-0.07692307692307693,-0.08004270767353637
2013-03-13,15,0.25,0.22314355131420976
2013-03-14,13,-0.13333333333333333,-0.1431008436406733
2013-03-15,12,-0.07692307692307693,-0.08004270767353637
2013-03-16,11,-0.08333333333333333,-0.08701137698962981
2013-03-17,10,-0.09090909090909091,-0.0953101798043249
2013-03-18,11,0.1,0.09531017980432493
2013-03-19,10,-0.09090909090909091,-0.0953101798043249
2013-03-20,9,-0.1,-0.10536051565782628
2013-03-21,12,0.3333333333333333,0.28768207245178085
2013-03-22,14,0.16666666666666666,0.15415067982725836
2013-03-23,11,-0.21428571428571427,-0.2411620568168881
2013-03-24,14,0.2727272727272727,0.24116205681688804
2013-03-25,16,0.14285714285714285,0.13353139262452257
2013-03-26,13,-0.1875,-0.2076393647782445
2013-03-27,19,0.46153846153846156,0.3794896217049037
2013-03-28,21,0.10526315789473684,0.10008345855698263
2013-03-29,26,0.23809523809523808,0.2135741002980591
2013-03-30,25,-0.038461538461538464,-0.03922071315328127
2013-03-31,28,0.12,0.11332868530700327
2013-04-01,41,0.4642857142857143,0.3813675565291038
2013-04-02,69,0.6829268292682927,0.5205344378929515
2013-04-03,86,0.2463768115942029,0.22024079165624832
2013-04-04,75,-0.12790697674418605,-0.1368591827171973
2013-04-05,68,-0.09333333333333334,-0.09798040836020379
2013-04-06,69,0.014705882352941176,0.014598799421152631
2013-04-07,65,-0.057971014492753624,-0.05971923470162231
2013-04-08,71,0.09230769230769231,0.08829260714567821
2013-04-09,83,0.16901408450704225,0.1561607307552825
2013-04-10,100,0.20481927710843373,0.18632957819149354
2013-04-11,86,-0.14,-0.15082288973458366
2013-04-12,69,-0.19767441860465115,-0.22024079165624838
2013-04-13,73,0.057971014492753624,0.05635293655113178
2013-04-14,67,-0.0821917808219178,-0.08576682175742506
2013-04-15,62,-0.07462686567164178,-0.0775582343458745
2013-04-16,61,-0.016129032258064516,-0.01626052087178029
2013-04-17,47,-0.22950819672131148,-0.2607262624632527
2013-04-18,45,-0.0425531914893617,-0.04348511193973878
2013-04-19,39,-0.13333333333333333,-0.1431008436406733
2013-04-20,40,0.02564102564102564,0.025317807984289786
2013-04-21,42,0.05,0.04879016416943205
2013-04-22,36,-0.14285714285714285,-0.15415067982725836
2013-04-23,40,0.1111111111111111,0.10536051565782635
2013-04-24,40,0.0,0.0
2013-04-25,60,0.5,0.4054651081081644
2013-04-26,54,-0.1,-0.10536051565782628
2013-04-27,55,0.018518518518518517,0.018349138668196617
2013-04-28,47,-0.14545454545454545,-0.15718558352241238
2013-04-29,49,0.0425531914893617,0.04167269640056808
2013-04-30,48,-0.02040816326530612,-0.020619287202735703
2013-05-01,48,0.0,0.0
2013-05-02,47,-0.020833333333333332,-0.02105340919783238
2013-05-03,44,-0.06382978723404255,-0.0659579677917974
2013-05-04,44,0.0,0.0
2013-05-05,43,-0.022727272727272728,-0.02298951822469872
2013-05-06,43,0.0,0.0
2013-05-07,39,-0.09302325581395349,-0.09763846956391606
2013-05-08,37,-0.05128205128205128,-0.05264373348542203
2013-05-09,34,-0.08108108108108109,-0.084557388028063
2013-05-10,35,0.029411764705882353,0.028987536873252187
2013-05-11,37,0.05714285714285714,0.055569851154810786
2013-05-12,38,0.02702702702702703,0.026668247082161273
2013-05-13,32,-0.15789473684210525,-0.17185025692665928
2013-05-14,33,0.03125,0.030771658666753687
2013-05-15,30,-0.09090909090909091,-0.0953101798043249
2013-05-16,25,-0.16666666666666666,-0.1823215567939546
2013-05-17,27,0.08,0.0769610411361284
2013-05-18,26,-0.037037037037037035,-0.037740327982847086
